player_node,team_node,player_name,team_name,group,leagues,minutes_domestic,games_domestic,wins_domestic,first_date,last_date,active_years,minutes_international,games_international,wins_international,minutes_total,games_total,wins_total,domestic_win_rate
player::cvmax,team::afreecafreecs,cvMax,Afreeca Freecs,major,LCK,116.45,3,1.0,2015-05-29 00:00:00+00:00,2015-05-29 00:00:00+00:00,2015,0.0,0.0,0.0,116.45,3.0,1.0,0.3333333333333333
player::ikssu,team::afreecafreecs,ikssu,Afreeca Freecs,major,LCK,4890.416666666666,133,61.0,2015-05-20 00:00:00+00:00,2016-09-01 00:00:00+00:00,2015|2016,0.0,0.0,0.0,4890.416666666666,133.0,61.0,0.45864661654135336
player::lira,team::afreecafreecs,lira,Afreeca Freecs,major,LCK,5149.716666666666,140,64.0,2015-05-20 00:00:00+00:00,2016-09-01 00:00:00+00:00,2015|2016,0.0,0.0,0.0,5149.716666666666,140.0,64.0,0.45714285714285713
player::apollo-apollo-price,team::apexgaming,Apollo (Apollo Price),Apex Gaming,major,LCS,1736.0833333333333,46,21.0,2016-06-04 00:00:00+00:00,2016-07-31 00:00:00+00:00,2016,0.0,0.0,0.0,1736.0833333333333,46.0,21.0,0.45652173913043476
player::keane,team::apexgaming,Keane,Apex Gaming,major,LCS,1736.0833333333333,46,21.0,2016-06-04 00:00:00+00:00,2016-07-31 00:00:00+00:00,2016,0.0,0.0,0.0,1736.0833333333333,46.0,21.0,0.45652173913043476
player::ray,team::apexgaming,Ray,Apex Gaming,major,LCS,1736.0833333333333,46,21.0,2016-06-04 00:00:00+00:00,2016-07-31 00:00:00+00:00,2016,0.0,0.0,0.0,1736.0833333333333,46.0,21.0,0.45652173913043476
player::shrimp,team::apexgaming,ShrimP,Apex Gaming,major,LCS,1736.0833333333333,46,21.0,2016-06-04 00:00:00+00:00,2016-07-31 00:00:00+00:00,2016,0.0,0.0,0.0,1736.0833333333333,46.0,21.0,0.45652173913043476
player::xpecial,team::apexgaming,Xpecial,Apex Gaming,major,LCS,1736.0833333333333,46,21.0,2016-06-04 00:00:00+00:00,2016-07-31 00:00:00+00:00,2016,0.0,0.0,0.0,1736.0833333333333,46.0,21.0,0.45652173913043476
player::angelas,team::ascension,Angelas,Ascension,major,LEC,80.93333333333332,2,0.0,2014-11-21 00:00:00+00:00,2014-11-21 00:00:00+00:00,2015,0.0,0.0,0.0,80.93333333333332,2.0,0.0,0.0
player::flezeth,team::ascension,Flezeth,Ascension,major,LEC,80.93333333333332,2,0.0,2014-11-21 00:00:00+00:00,2014-11-21 00:00:00+00:00,2015,0.0,0.0,0.0,80.93333333333332,2.0,0.0,0.0
player::ladooscuro,team::ascension,Ladooscuro,Ascension,major,LEC,80.93333333333332,2,0.0,2014-11-21 00:00:00+00:00,2014-11-21 00:00:00+00:00,2015,0.0,0.0,0.0,80.93333333333332,2.0,0.0,0.0
player::mister,team::ascension,Mister,Ascension,major,LEC,80.93333333333332,2,0.0,2014-11-21 00:00:00+00:00,2014-11-21 00:00:00+00:00,2015,0.0,0.0,0.0,80.93333333333332,2.0,0.0,0.0
player::zvene,team::ascension,ZvenE,Ascension,major,LEC,80.93333333333332,2,0.0,2014-11-21 00:00:00+00:00,2014-11-21 00:00:00+00:00,2015,0.0,0.0,0.0,80.93333333333332,2.0,0.0,0.0
player::achie,team::assassinsniper,Achie,Assassin Sniper,major,LMS,1063.7166666666667,28,7.0,2015-05-20 00:00:00+00:00,2015-07-09 00:00:00+00:00,2015,0.0,0.0,0.0,1063.7166666666667,28.0,7.0,0.25
player::bebe-chang-bo-wei,team::assassinsniper,BeBe (Chang Bo-Wei),Assassin Sniper,major,LMS,1063.7166666666667,28,7.0,2015-05-20 00:00:00+00:00,2015-07-09 00:00:00+00:00,2015,0.0,0.0,0.0,1063.7166666666667,28.0,7.0,0.25
player::maplesnow,team::assassinsniper,MapleSnow,Assassin Sniper,major,LMS,832.5833333333334,22,6.0,2015-06-04 00:00:00+00:00,2015-07-09 00:00:00+00:00,2015,0.0,0.0,0.0,832.5833333333334,22.0,6.0,0.2727272727272727
player::mihanna,team::assassinsniper,MiHanna,Assassin Sniper,major,LMS,166.53333333333333,4,1.0,2015-05-20 00:00:00+00:00,2015-07-09 00:00:00+00:00,2015,0.0,0.0,0.0,166.53333333333333,4.0,1.0,0.25
player::stone,team::assassinsniper,Stone,Assassin Sniper,major,LMS,144.03333333333333,4,0.0,2015-05-27 00:00:00+00:00,2015-05-29 00:00:00+00:00,2015,0.0,0.0,0.0,144.03333333333333,4.0,0.0,0.0
player::weiiii,team::assassinsniper,Weiiii,Assassin Sniper,major,LMS,1063.7166666666667,28,7.0,2015-05-20 00:00:00+00:00,2015-07-09 00:00:00+00:00,2015,0.0,0.0,0.0,1063.7166666666667,28.0,7.0,0.25
player::zonda,team::assassinsniper,Zonda,Assassin Sniper,major,LMS,984.2833333333332,26,7.0,2015-05-20 00:00:00+00:00,2015-07-05 00:00:00+00:00,2015,0.0,0.0,0.0,984.2833333333332,26.0,7.0,0.2692307692307692
player::add,team::blg,ADD,BLG,major,LPL,2841.5166666666664,84,47.0,2019-01-15 00:00:00+00:00,2019-09-04 00:00:00+00:00,2019,0.0,0.0,0.0,2841.5166666666664,84.0,47.0,0.5595238095238095
player::amazingj,team::blg,AmazingJ,BLG,major,LPL,3328.3,98,47.0,2018-01-16 00:00:00+00:00,2018-08-26 00:00:00+00:00,2018,0.0,0.0,0.0,3328.3,98.0,47.0,0.47959183673469385
player::athena,team::blg,Athena,BLG,major,LPL,1479.2833333333333,42,19.0,2018-01-16 00:00:00+00:00,2018-08-25 00:00:00+00:00,2018,0.0,0.0,0.0,1479.2833333333333,42.0,19.0,0.4523809523809524
player::chieftain,team::blg,Chieftain,BLG,major,LPL,1795.3833333333332,54,28.0,2018-03-13 00:00:00+00:00,2018-08-26 00:00:00+00:00,2018,0.0,0.0,0.0,1795.3833333333332,54.0,28.0,0.5185185185185185
player::jinjiao,team::blg,Jinjiao,BLG,major,LPL,6169.816666666667,182,94.0,2018-01-16 00:00:00+00:00,2019-09-04 00:00:00+00:00,2018|2019,0.0,0.0,0.0,6169.816666666667,182.0,94.0,0.5164835164835165
player::kine,team::blg,Kine,BLG,major,LPL,173.46666666666667,5,2.0,2019-02-17 00:00:00+00:00,2019-02-18 00:00:00+00:00,2019,0.0,0.0,0.0,173.46666666666667,5.0,2.0,0.4
player::kuro,team::blg,Kuro,BLG,major,LPL,2841.5166666666664,84,47.0,2019-01-15 00:00:00+00:00,2019-09-04 00:00:00+00:00,2019,0.0,0.0,0.0,2841.5166666666664,84.0,47.0,0.5595238095238095
player::m1anhua,team::blg,M1anhua,BLG,major,LPL,446.7166666666666,13,3.0,2018-06-11 00:00:00+00:00,2018-08-25 00:00:00+00:00,2018,0.0,0.0,0.0,446.7166666666666,13.0,3.0,0.23076923076923078
player::meteor,team::blg,Meteor,BLG,major,LPL,1544.35,47,27.0,2019-06-05 00:00:00+00:00,2019-09-04 00:00:00+00:00,2019,0.0,0.0,0.0,1544.35,47.0,27.0,0.574468085106383
player::metoer,team::blg,Metoer,BLG,major,LPL,1297.1666666666667,37,20.0,2019-01-15 00:00:00+00:00,2019-03-30 00:00:00+00:00,2019,0.0,0.0,0.0,1297.1666666666667,37.0,20.0,0.5405405405405406
player::mni,team::blg,Mni,BLG,major,LPL,1123.7,32,18.0,2019-01-15 00:00:00+00:00,2019-03-30 00:00:00+00:00,2019,0.0,0.0,0.0,1123.7,32.0,18.0,0.5625
player::mole,team::blg,Mole,BLG,major,LPL,1849.0166666666669,56,28.0,2018-03-13 00:00:00+00:00,2018-08-26 00:00:00+00:00,2018,0.0,0.0,0.0,1849.0166666666669,56.0,28.0,0.5
player::road-yun-han-gil,team::blg,Road (Yun Han-gil),BLG,major,LPL,3328.3,98,47.0,2018-01-16 00:00:00+00:00,2018-08-26 00:00:00+00:00,2018,0.0,0.0,0.0,3328.3,98.0,47.0,0.47959183673469385
player::sks,team::blg,Sks,BLG,major,LPL,1086.2,31,16.0,2018-01-16 00:00:00+00:00,2018-03-24 00:00:00+00:00,2018,0.0,0.0,0.0,1086.2,31.0,16.0,0.5161290322580645
player::xinmo,team::blg,XinMo,BLG,major,LPL,1544.35,47,27.0,2019-06-05 00:00:00+00:00,2019-09-04 00:00:00+00:00,2019,0.0,0.0,0.0,1544.35,47.0,27.0,0.574468085106383
player::balls,team::c9,Balls,C9,major,LCS,2949.7833333333333,83,46.0,2015-01-24 00:00:00+00:00,2016-04-02 00:00:00+00:00,2015|2016,232.2,7.0,3.0,3181.983333333333,90.0,49.0,0.5542168674698795
player::blaber,team::c9,Blaber,C9,major,LCS,760.05,22,16.0,2018-07-21 00:00:00+00:00,2019-08-04 00:00:00+00:00,2018|2019,328.68333333333334,10.0,6.0,1088.7333333333331,32.0,22.0,0.7272727272727273
player::bunny-fufuu,team::c9,Bunny FuFuu,C9,major,LCS,656.2833333333333,18,9.0,2016-01-16 00:00:00+00:00,2016-07-10 00:00:00+00:00,2016,0.0,0.0,0.0,656.2833333333333,18.0,9.0,0.5
player::contractz,team::c9,Contractz,C9,major,LCS,3804.7166666666662,105,68.0,2017-01-20 00:00:00+00:00,2017-09-10 00:00:00+00:00,2017,592.8666666666667,18.0,12.0,4397.583333333333,123.0,80.0,0.6476190476190476
player::deftly,team::c9,Deftly,C9,major,LCS,59.25,2,1.0,2019-07-27 00:00:00+00:00,2019-08-03 00:00:00+00:00,2019,27.933333333333334,1.0,1.0,87.18333333333334,3.0,2.0,0.5
player::diamond-david-berube,team::c9,Diamond (David Bérubé),C9,major,LCS,29.516666666666666,1,1.0,2019-03-24 00:00:00+00:00,2019-03-24 00:00:00+00:00,2019,0.0,0.0,0.0,29.516666666666666,1.0,1.0,1.0
player::goldenglue,team::c9,Goldenglue,C9,major,LCS,425.26666666666665,12,5.0,2018-06-16 00:00:00+00:00,2019-03-24 00:00:00+00:00,2018|2019,0.0,0.0,0.0,425.26666666666665,12.0,5.0,0.4166666666666667
player::hai,team::c9,Hai,C9,major,LCS,2515.6,71,43.0,2015-01-24 00:00:00+00:00,2016-04-02 00:00:00+00:00,2015|2016,232.2,7.0,3.0,2747.8,78.0,46.0,0.6056338028169014
player::impact,team::c9,Impact,C9,major,LCS,5112.816666666667,141,94.0,2016-06-04 00:00:00+00:00,2017-09-10 00:00:00+00:00,2016|2017,982.4,27.0,15.0,6095.216666666666,168.0,109.0,0.6666666666666666
player::incarnati0n,team::c9,Incarnati0n,C9,major,LCS,1202.0166666666669,33,16.0,2015-05-30 00:00:00+00:00,2015-08-31 00:00:00+00:00,2015,232.2,7.0,3.0,1434.2166666666667,40.0,19.0,0.48484848484848486
player::jensen,team::c9,Jensen,C9,major,LCS,8469.766666666666,235,147.0,2016-01-16 00:00:00+00:00,2018-09-17 00:00:00+00:00,2016|2017|2018,1697.8,49.0,29.0,10167.566666666666,284.0,176.0,0.625531914893617
